method,dataset,batch_size,lr_loss,lr_dis,loss_steps,dis_steps,mu_val,epochs,second_scale,random_state,model_type,metric,avg_length,avg_coverage,avg_length_0,avg_length_1,avg_coverage_0,avg_coverage_1,pred_error,p_val,full_name
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456789,linear_model,equalized_odds,1.0281635802469136,0.8885030864197531,1.0442546583850931,1.012269938650307,0.8866459627329193,0.8903374233128835,0.1203703703703703,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456790,linear_model,equalized_odds,1.039351851851852,0.8931327160493827,1.080568720379147,1.0,0.8981042654028436,0.8883861236802413,0.1265432098765432,0.0159840159840159,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456789,linear_model,equalized_odds,1.0281635802469136,0.8885030864197531,1.0442546583850931,1.012269938650307,0.8866459627329193,0.8903374233128835,0.1203703703703703,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456790,linear_model,equalized_odds,1.039351851851852,0.8931327160493827,1.080568720379147,1.0,0.8981042654028436,0.8883861236802413,0.1265432098765432,0.0159840159840159,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456791,linear_model,equalized_odds,1.0625,0.9047067901234568,1.0937019969278037,1.0310077519379846,0.9039938556067588,0.9054263565891472,0.1234567901234567,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456792,linear_model,equalized_odds,1.0736882716049383,0.9031635802469136,1.115085536547434,1.0329249617151608,0.9043545878693624,0.9019908116385912,0.1304012345679012,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456793,linear_model,equalized_odds,1.0478395061728396,0.8935185185185185,1.0684089162182937,1.027110766847405,0.9000768639508071,0.8869093725793958,0.1311728395061728,0.1398601398601398,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456794,linear_model,equalized_odds,1.0474537037037035,0.9004629629629629,1.0742157612853864,1.0202334630350194,0.8867635807192042,0.914396887159533,0.1226851851851852,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456795,linear_model,equalized_odds,1.1300154320987654,0.9093364197530864,1.1512415349887133,1.107680126682502,0.909706546275395,0.908946951702296,0.1415895061728395,0.0009990009990009,Baseline_linear_model
Baseline,nursery,32,0.1,0.1,1,1,0.0,20,0.0,123456796,linear_model,equalized_odds,1.062114197530864,0.9000771604938271,1.088854247856586,1.0359052711993888,0.9049103663289166,0.8953399541634836,0.128858024691358,0.0349650349650349,Baseline_linear_model
